row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,DOM_Interlab_LCMS_Lab012_A5M_Pos_MS2_rep2.mzML Peak area,DOM_Interlab_LCMS_Lab012_A5M_Pos_MS2_rep3.mzML Peak area,DOM_Interlab_LCMS_Lab012_A5M_Pos_MS2_rep1.mzML Peak area,DOM_Interlab_LCMS_Lab012_A15M_Pos_MS2_rep1_5uL.mzML Peak area,DOM_Interlab_LCMS_Lab012_A15M_Pos_MS2_rep3_5uL.mzML Peak area,DOM_Interlab_LCMS_Lab012_PPLBlank_Pos_MS2_rep1.mzML Peak area,DOM_Interlab_LCMS_Lab012_A45M_Pos_MS2_rep2_5uL.mzML Peak area,DOM_Interlab_LCMS_Lab012_A45M_Pos_MS2_rep1_5uL.mzML Peak area,DOM_Interlab_LCMS_Lab012_A15M_Pos_MS2_rep2_5uL.mzML Peak area,DOM_Interlab_LCMS_Lab012_M_Pos_MS1_rep3.mzML Peak area,DOM_Interlab_LCMS_Lab012_M_Pos_MS1_rep2.mzML Peak area,DOM_Interlab_LCMS_Lab012_M_Pos_MS2_rep1.mzML Peak area,DOM_Interlab_LCMS_Lab012_A45M_Pos_MS2_rep3_5uL.mzML Peak area,
21756,150.03731586000373,11.393411,,,,,,,,,,,219293.92,240317.94,240954.39,35029.016,27603.217,0,118159.06,144947.1,22596.512,0,0,0,140548.75,
3568,150.12855695257514,3.9062777,,,,,,,,,,,0,0,0,282242.47,244240.25,0,282712.75,252415.33,266917.22,159329.7,74759.3,175421.5,241124.98,
24,151.03533633417177,0.90454,,,,,,,,,,,98677.625,38560.84,40845.395,945870.9,959904.44,0,856058.56,848534.0,967698.56,1401173.0,1377056.9,1568122.8,883435.94,
16252,151.07606579482572,7.5963187,,,,,,,,,,,313431.7,366526.7,274554.25,431880.66,515078.03,0,312382.53,321688.38,478104.16,290393.03,83915.16,386111.97,345023.0,
13629,153.05528034381626,6.361149,,,,,,,,,,,63361.863,72039.26,85134.41,193750.89,212481.4,0,168497.98,166260.2,180718.2,1086.0725,967.93164,11306.923,125953.445,
15802,153.05529396100394,7.328219,,,,,,,,,,,184218.75,181397.67,198039.02,206991.84,217083.38,0,130269.56,112657.22,213199.86,154611.86,99077.4,205716.0,93500.73,
22212,153.09098226270555,11.55806,,,,,,,,,,,577076.4,419859.5,525038.3,1142485.4,1150287.5,0,1187663.9,846757.6,1169108.9,0,0,0,1120290.4,
19874,153.09141717816354,10.572138,,,,,,,,,,,199467.28,257920.31,291591.9,122759.96,104265.08,0,90485.664,45974.664,217525.58,82901.5,52026.875,136649.55,58374.26,
10747,153.09170024916637,5.4948616,,,,,,,,,,,39076.93,36653.758,49572.156,165005.14,189229.02,0,209989.97,195868.86,165616.84,173967.44,119487.08,264114.9,140543.67,
17888,153.09172052551577,9.089021,,,,,,,,,,,365486.62,339569.6,335361.4,330800.4,342668.97,0,256100.3,240620.23,348454.97,265081.75,153195.2,323907.75,278311.6,
18244,153.1280635728801,9.398293,,,,,,,,,,,132512.3,62462.582,126130.15,153810.05,151348.9,0,158035.48,137484.55,136017.84,32544.664,27130.297,80271.29,123754.62,
24823,154.99028477861668,14.838911,,,,,,,,,,,1146222.2,1237380.8,172518.86,443016.25,469314.06,486.40448,476664.9,491258.53,487459.9,624262.0,670169.5,1841045.6,513702.8,
21409,154.99035284334406,11.2468815,,,,,,,,,,,0,477089.8,181496.3,100537.99,149606.98,0,0,120672.984,113228.875,66860.16,96425.09,92214.27,155293.1,
20016,154.99058881324314,10.626395,,,,,,,,,,,118087.17,706585.44,128246.91,108848.14,130678.39,0,119443.24,111127.84,110611.016,60143.773,41177.773,85833.4,120571.36,
22522,155.10655994510915,11.678256,,,,,,,,,,,195878.02,115920.016,515662.72,1586663.0,1483726.9,0,1612714.6,1518927.9,1383512.5,0,0,2047.9551,1423786.0,
22151,155.1066568416912,11.543171,,,,,,,,,,,236235.44,356476.4,158525.69,290357.84,0,0,256142.25,0,294648.5,0,0,4175.2773,253794.28,
19412,155.10707154158777,10.304622,,,,,,,,,,,188632.7,58521.562,131712.0,81841.16,75916.8,0,50327.438,30193.29,56560.125,55605.4,18310.648,131146.97,50449.152,
18075,155.10732318989457,9.299992,,,,,,,,,,,280399.4,397258.16,140675.83,200391.95,142306.9,0,96174.13,74127.195,26343.861,136750.62,116875.35,192522.84,38833.77,
19000,155.10733199979836,9.964734,,,,,,,,,,,222712.23,178303.38,228781.0,80438.14,75222.31,0,77504.3,79636.87,77225.53,146708.44,104126.44,136978.5,72628.875,
18035,155.10733381577117,9.279347,,,,,,,,,,,172049.4,144999.84,374872.22,144403.52,129577.586,0,110304.48,116179.72,144184.83,246522.12,223837.06,346166.97,109807.35,
