filename	ATTRIBUTE_Sample	ATTRIBUTE_Sample_Type	ATTRIBUTE_Time-Point
DOM_Interlab_LCMS_Lab012_A15M_Pos_MS2_rep1_5uL.mzML	A15M	Sample	15
DOM_Interlab_LCMS_Lab012_A15M_Pos_MS2_rep2_5uL.mzML	A15M	Sample	15
DOM_Interlab_LCMS_Lab012_A15M_Pos_MS2_rep3_5uL.mzML	A15M	Sample	15
DOM_Interlab_LCMS_Lab012_A45M_Pos_MS2_rep1_5uL.mzML	A45M	Sample	45
DOM_Interlab_LCMS_Lab012_A45M_Pos_MS2_rep2_5uL.mzML	A45M	Sample	45
DOM_Interlab_LCMS_Lab012_A45M_Pos_MS2_rep3_5uL.mzML	A45M	Sample	45
DOM_Interlab_LCMS_Lab012_A5M_Pos_MS2_rep1.mzML	A5M	Sample	5
DOM_Interlab_LCMS_Lab012_A5M_Pos_MS2_rep2.mzML	A5M	Sample	5
DOM_Interlab_LCMS_Lab012_A5M_Pos_MS2_rep3.mzML	A5M	Sample	5
DOM_Interlab_LCMS_Lab012_M_Pos_MS1_rep2.mzML	M	Sample	0
DOM_Interlab_LCMS_Lab012_M_Pos_MS1_rep3.mzML	M	Sample	0
DOM_Interlab_LCMS_Lab012_M_Pos_MS2_rep1.mzML	M	Sample	0
DOM_Interlab_LCMS_Lab012_PPLBlank_Pos_MS2_rep1.mzML	PPL	Process_Blank	NA
